Requirement,Clause ID,Description,Mapped Reference Model Function(s),Traceability,Explainability,Evidence Integrity,Adaptability,Action Governance,Reasoning,,,
,11.4.4,Exploitable vulnerabilities and weaknesses found during penetration testing are corrected and retested.,Control Implementation Validation; Evidence Collection and Management,Specified: Finding→fix→retest gives end-to-end trace.,Indirect: Retest outcomes explain adequacy.,Indirect: Artefacts exist; immutability not stated.,Indirect: Occurs per test cycle/change.,Specified: Mandating fixes/retests is governance.,Specified: Selecting remediations and declaring closure is reasoning.,,,
,11.4.5,"If segmentation is used, penetration tests are performed on segmentation controls at least annually and after changes, by qualified independent personnel.",Control Implementation Validation; Evidence Collection and Management,Specified: Segmentation scope→annual/triggered tests traceable.,Indirect: Reports clarify isolation efficacy.,Indirect: Evidence exists; integrity not mandated.,Specified: Annual + change-driven adaptation.,Specified: Ensuring testing is governance.,Indirect: Interpreting results requires reasoning.,,,
,11.4.6,"(Service providers only) If segmentation is used, penetration tests on segmentation controls are performed at least every six months and after changes.",Control Implementation Validation; Evidence Collection and Management,Specified: Semi-annual cadence→evidence chain.,Indirect: Reports explain posture.,Indirect: Evidence exists; integrity not mandated.,Specified: More frequent adaptation for service providers.,Specified: Enforcing cadence is governance.,Indirect: Deciding fixes/retention requires reasoning.,,,
,11.4.7,(Multi-tenant service providers only) Service providers support customers’ external penetration testing requirements.,Control Implementation Validation; Evidence Collection and Management,Indirect: Support actions→customer tests traceable; not strictly mandated artefact set.,Indirect: Support plans/SLAs explainability.,Indirect: Support evidence exists; integrity not stated.,Indirect: Customer needs change.,Specified: Providing required support is governance.,Indirect: Coordinating scope/scheduling involves reasoning.,,,
,11.5.1,"Intrusion-detection and/or intrusion-prevention techniques are used to monitor traffic at CDE perimeter and critical points, alert personnel, and keep signatures up to date.",Continuous Monitoring and Anomaly Detection,Indirect: Sensor→alert chain can be recorded; not compelled.,Indirect: Alerts are interpretable.,Indirect: Logs/alerts exist; tamper not specified.,Specified: “Keep signatures up to date” = adaptation.,Specified: Operating IDS/IPS and alerting is governance.,Specified: Tuning detection and triage is reasoning.,,,
,11.5.1.1,"(Service providers only) IDS/IPS detect, alert, and prevent covert malware communication channels, with incident response defined.",Continuous Monitoring and Anomaly Detection; Incident Response and Recovery,Indirect: Detection→alert→IR chain can be traced.,Indirect: IR playbooks provide clarity.,Indirect: Artefacts exist; integrity not mandated.,Indirect: Threat patterns evolve; IR updates follow.,Specified: Running IDS/IPS and IR is governance.,Specified: Detection logic and IR decisioning are reasoning.,,,
,11.5.2,"A change-detection mechanism (for example, file integrity monitoring) is deployed to alert on unauthorised modification of critical files, with comparisons at least weekly.",Continuous Monitoring and Anomaly Detection,Specified: FIM policy→alerts provide clear trace of file state.,Indirect: Alerts explain anomalies.,Specified: FIM inherently provides tamper-evidence for files.,Specified: “At least weekly” comparisons = adaptive cadence.,Specified: Deploying and tuning FIM is governance.,Indirect: Selecting scopes/thresholds requires reasoning.,,,
,11.6.1,A change- and tamper-detection mechanism is deployed to alert on unauthorised modification of HTTP headers and scripts of payment pages as received by the consumer browser.,Continuous Monitoring and Anomaly Detection,Specified: Page element→tamper-alert mapping explicit.,Indirect: Alerts make issues reviewable.,Specified: Tamper detection on headers/scripts protects evidence of page integrity.,Indirect: Rules/signatures evolve.,Specified: Operating the mechanism is governance.,Indirect: Defining detection logic requires reasoning.,,,
12: Support Information Security with Organizational Policies and Programs,12.1.1,"An overall information security policy is established, published, maintained, and disseminated to all relevant personnel, as well as to relevant vendors and business partners.",Requirement-to-Control Mapping and Gap Analysis,Specified : Policy→audience→use creates mandate→practice lineage.,Indirect : Publication aids clarity; no narrative duty.,Indirect : Policy artefacts exist; immutability not stated.,Indirect : “Maintained” implies updates.,Specified : Establish/publish/maintain = governance.,Indirect : Defining policy scope involves reasoning.,,,
,12.1.2,The information security policy is reviewed at least once every 12 months and updated as needed to reflect changes to business objectives or risks to the environment.,Requirement-to-Control Mapping and Gap Analysis,Specified : Review→update records trace policy evolution.,Indirect : Rationale tied to objectives/risks is interpretable.,Indirect : Review artefacts exist; integrity not stated.,Specified : Annual cadence + change-driven updates.,Specified : Approving updates is governance.,Specified : Weighing objectives/risks is formal reasoning.,,,
,12.1.3,"The security policy clearly defines information security roles and responsibilities for all personnel, and all personnel acknowledge their responsibilities.",Requirement-to-Control Mapping and Gap Analysis; Evidence Collection and Management,Specified : Role→responsibility→acknowledgement gives trace to accountability.,Indirect : Definitions/acknowledgements aid understanding.,Indirect : Acknowledgement records exist; integrity not stated.,Indirect : Roles can change.,Specified : Defining/collecting acknowledgements is governance.,Indirect : Assigning responsibilities involves reasoning.,,,
,12.1.4,Responsibility for information security is formally assigned to a CISO or other information security knowledgeable executive.,Requirement-to-Control Mapping and Gap Analysis,Specified : Executive assignment provides clear lineage to accountable owner.,Indirect : Title/authority clarify rationale.,Indirect : Appointment docs exist; integrity not stated.,Indirect : May change with org structure.,Specified : Formal assignment is governance.,Indirect : Selecting the assignee involves reasoning.,,,
,12.2.1,"Acceptable use policies for end-user technologies are documented and implemented, including explicit approval, acceptable uses, and a list of approved products.",Requirement-to-Control Mapping and Gap Analysis,Specified : Approval→policy→product list maps mandate→controls.,Indirect : Policy content explains expectations.,Indirect : Policy/approval records exist.,Indirect : Lists evolve with tech.,Specified : Approvals/implementation are governance.,Indirect : Curating “approved” set requires reasoning.,,,
,12.3.1,"Targeted risk analyses are documented for PCI DSS requirements that specify such analysis, reviewed annually, and updated when necessary.",Vulnerability and Risk Assessments (VA-RA); Evidence Collection and Management,Specified : Requirement→TRA→review→update creates trace.,Indirect : TRA narrative explains risk basis.,Indirect : TRA artefacts exist; integrity not mandated.,Specified : Annual + as-needed updates.,Specified : Approving TRAs is governance.,Specified : TRA itself is structured reasoning.,,,
,12.3.2,"Targeted risk analyses are performed for each PCI DSS requirement met via a customised approach, including documentation, senior management approval, and annual review.",Vulnerability and Risk Assessments (VA-RA); Evidence Collection and Management,Specified : Customised approach→TRA→approval→review = explicit lineage.,Indirect : Documentation explains tailoring.,Indirect : Records exist; integrity not stated.,Specified : Annual review mandates adaptation.,Specified : Senior management approval = governance.,Specified : Justifying custom approach is formal reasoning.,,,
,12.3.3,"Cryptographic cipher suites and protocols in use are documented, reviewed annually, and supported with a plan to respond to vulnerabilities.",Continuous Monitoring and Anomaly Detection; Evidence Collection and Management,Specified : Inventory→review→response plan creates trace.,Indirect : Documentation/plan aid comprehension.,Indirect : Artefacts exist; integrity not mandated.,Specified : Annual review + vuln response = adaptation.,Specified : Approving plans is governance.,Indirect : Selecting deprecations/mitigations requires reasoning.,,,
,12.3.4,"Hardware and software technologies in use are reviewed annually to ensure they remain supported and secure, with plans to remediate outdated technologies.",Continuous Monitoring and Anomaly Detection; Evidence Collection and Management,Specified : Tech inventory→annual review→remediation plan traceable.,Indirect : Review and plan explain posture.,Indirect : Records exist; integrity not stated.,Specified : Annual cadence + remediation planning.,Specified : Approving remediation is governance.,Indirect : Sunset/upgrade decisions involve reasoning.,,,
,12.4.1,"(Service providers only) Executive management establishes responsibility for PCI DSS compliance, including accountability and a compliance programme charter.",Requirement-to-Control Mapping and Gap Analysis,Specified : Charter→accountability→owner gives strong lineage.,Indirect : Charter clarifies scope/intent.,Indirect : Charter records exist; integrity not mandated.,Indirect : May evolve with business.,Specified : Executive assignment/charter is governance.,Indirect : Defining charter content requires reasoning.,,,
,12.4.2,"(Service providers only) Reviews are performed at least once every three months to confirm personnel follow security policies and procedures, conducted by independent personnel.",Audit and Reporting,Specified : Quarterly independent review→evidence chain.,Indirect : Findings explain adherence.,Indirect : Review artefacts exist; integrity not stated.,Specified : Quarterly cadence = adaptation.,Specified : Commissioning/accepting reviews is governance.,Indirect : Determining sample/scope involves reasoning.,,,
,12.4.2.1,"(Service providers only) Reviews conducted under 12.4.2 are documented, include results, remediation actions, and sign-off by compliance programme management.",Audit and Reporting; Evidence Collection and Management,Specified : Results→remediation→sign-off provides end-to-end lineage.,Indirect : Documentation makes choices explainable.,Indirect : Records exist; integrity not mandated.,Indirect : Follow-up may evolve.,Specified : Management sign-off is governance.,Indirect : Prioritising remediation requires reasoning.,,,
,12.5.1,"An inventory of in-scope system components, including description of function/use, is maintained and current.",Evidence Collection and Management,Specified : Component→function mapping gives trace to scope.,Indirect : Descriptions aid clarity.,Indirect : Inventory exists; immutability not stated.,Specified : “Maintained and current” = adaptation.,Indirect : Stewardship implied.,Indirect : Curation and scoping involve reasoning.,,,
,12.5.2,"PCI DSS scope is documented and confirmed at least annually and after significant changes, including data flows, system components, segmentation, and third-party connections.",Vulnerability and Risk Assessments (VA-RA); Evidence Collection and Management,Specified : Doc→confirm→inputs (flows/components/segmentation/TPSP) create traceability.,Indirect : Scope artefacts explain boundaries.,Indirect : Evidence exists; integrity not mandated.,Specified : Annual + change-driven adaptation.,Specified : Confirming scope is governance.,Indirect : Determining scope boundaries requires reasoning.,,,
,12.5.2.1,"(Service providers only) PCI DSS scope is documented and confirmed at least every six months and after significant changes, including all elements of 12.5.2.",Vulnerability and Risk Assessments (VA-RA); Evidence Collection and Management,Specified : Semi-annual cadence→trace.,Indirect : Artefacts clarify scope.,Indirect : Records exist; integrity not mandated.,Specified : More frequent adaptation for service providers.,Specified : Governance of scoping cadence.,Indirect : Boundary/impact analysis involves reasoning.,,,
,12.5.3,"(Service providers only) Significant changes to organisational structure trigger a documented review of PCI DSS scope and controls, with results communicated to executive management.",Vulnerability and Risk Assessments (VA-RA); Audit and Reporting,Specified : Change→review→communicate chain creates lineage.,Indirect : Review report explains implications.,Indirect : Records exist; integrity not mandated.,Specified : Event-driven adaptation.,Specified : Executive communication is governance.,Indirect : Assessing control impacts requires reasoning.,,,
,12.6.1,"A formal security awareness programme is implemented to ensure personnel are aware of policies, procedures, and their role in protecting cardholder data.",Requirement-to-Control Mapping and Gap Analysis,Indirect : Programme links content→behaviour; not a direct control→mandate trace.,Indirect : Awareness improves understandability.,Indirect : Training artefacts exist; integrity not stated.,Indirect : Content updates with threats.,Specified : Implementing programme is governance.,Indirect : Designing curriculum involves reasoning.,,,
,12.6.2,The security awareness programme is reviewed annually and updated as needed to reflect new threats and vulnerabilities.,Requirement-to-Control Mapping and Gap Analysis,Indirect : Review→update records can map evolution.,Indirect : Update notes explain rationale.,Indirect : Records exist; integrity not mandated.,Specified : Annual + threat-driven updates.,Specified : Approving updates is governance.,Indirect : Threat evaluation is reasoning.,,,
,12.6.3,"Personnel receive security awareness training upon hire and annually, using multiple methods, and acknowledge understanding annually.",Requirement-to-Control Mapping and Gap Analysis; Evidence Collection and Management,Specified : Hire/annual triggers→training→acknowledgement provide trace to individuals.,Indirect : Multi-method delivery improves explainability.,Indirect : Acknowledgement/training records exist; integrity not stated.,Specified : Time-based cadence.,Specified : Enrolling/tracking is governance.,Indirect : Choosing methods/topics involves reasoning.,,,
,12.6.3.1,"Security awareness training includes threats and vulnerabilities that could impact cardholder data, including phishing and social engineering.",Requirement-to-Control Mapping and Gap Analysis,Indirect : Content→risk mapping can be recorded; not compelled.,Specified : Explicit topics improve explanation.,Not specified,Indirect : Topics evolve with threat landscape.,Specified : Mandating coverage is governance.,Indirect : Selecting depth/examples requires reasoning.,,,
,12.6.3.2,Security awareness training includes acceptable use of end-user technologies per Requirement 12.2.1.,Requirement-to-Control Mapping and Gap Analysis,Indirect : Cross-reference creates trace to AUP domain.,Specified : Inclusion clarifies rationale.,Not specified,Indirect : Evolves with AUP changes.,Specified : Enforcing inclusion is governance.,Indirect : Tailoring to tech stack involves reasoning.,,,
,12.7.1,"Potential personnel with CDE access are screened, within legal constraints, prior to hire.",Vulnerability and Risk Assessments (VA-RA); Evidence Collection and Management,Indirect : Candidate→screen outcome can be traced; not mandated as artefact set.,Indirect : Screening criteria explain suitability.,Indirect : Records exist; integrity not stated.,Indirect : Criteria may change with policy/law.,Specified : Requiring screening is governance.,Indirect : Risk-based clearance decisions involve reasoning.,,,
,12.8.1,"A list of all third-party service providers (TPSPs) with account data access or that could impact its security is maintained, including services provided.",Evidence Collection and Management,Specified : TPSP→service mapping creates lineage to responsibilities.,Indirect : List clarifies exposure.,Indirect : Inventory exists; immutability not stated.,Specified : “Maintained” = kept current.,Indirect : Stewardship implied.,Indirect : Inclusion/exclusion decisions involve reasoning.,,,
,12.8.2,Written agreements with all TPSPs include acknowledgement of their responsibility for account data security.,Requirement-to-Control Mapping and Gap Analysis; Evidence Collection and Management,Specified : Contract→responsibility acknowledgement forms explicit trace.,Indirect : Clauses make duties clear.,Indirect : Contract artefacts exist; integrity not stated.,Indirect : Agreements evolve.,Specified : Contracting/approval is governance.,Indirect : Defining clause scope requires reasoning.,,,
,12.8.3,A documented process for engaging TPSPs includes due diligence prior to engagement.,Vulnerability and Risk Assessments (VA-RA); Evidence Collection and Management,Specified : Process→due diligence artefacts create lineage.,Indirect : Due diligence narrative explains selection.,Indirect : Records exist; integrity not stated.,Indirect : Criteria evolve with risk.,Specified : Enforcing process is governance.,Specified : Due diligence evaluation is reasoning.,,,
,12.8.4,A programme is implemented to monitor TPSPs’ PCI DSS compliance status at least annually.,Continuous Monitoring and Anomaly Detection; Audit and Reporting,Specified : Monitor→status→evidence gives trace.,Indirect : Status reports explain posture.,Indirect : Evidence exists; integrity not mandated.,Specified : Annual cadence ensures adaptation.,Specified : Running the programme is governance.,Indirect : Handling non-compliance requires reasoning.,,,
,12.8.5,"Information is maintained about which PCI DSS requirements are managed by each TPSP, which by the entity, and which are shared.",Evidence Collection and Management,Specified : Requirement→ownership matrix is explicit lineage.,Indirect : Matrix clarifies responsibilities.,Indirect : Artefacts exist; integrity not stated.,Indirect : Ownership may change.,Specified : Maintaining RACI is governance.,Indirect : Splitting responsibilities involves reasoning.,,,
,12.9.1,(Service providers only) TPSPs provide written agreements to customers acknowledging their responsibility for account data security.,Requirement-to-Control Mapping and Gap Analysis; Evidence Collection and Management,Specified : Agreement→acknowledgement forms clear trace.,Indirect : Language explains obligations.,Indirect : Agreements exist; integrity not mandated.,Indirect : Terms evolve.,Specified : Executing agreements is governance.,Indirect : Tailoring terms requires reasoning.,,,
,12.9.2,(Service providers only) TPSPs provide customers with compliance status information and details of PCI DSS responsibilities (shared or sole).,Audit and Reporting; Evidence Collection and Management,Specified : Status→responsibility mapping creates lineage.,Indirect : Reports explain scope.,Indirect : Evidence exists; integrity not stated.,Indirect : Status evolves.,Specified : Providing reports is governance.,Indirect : Deciding disclosure detail involves reasoning.,,,
,12.10.1,"An incident response plan exists and includes roles, responsibilities, communications, containment, recovery, and legal requirements.",Incident Response and Recovery,Specified : IR plan structure→roles→steps provides trace to actions.,Indirect : Plan explains intended decisions.,Indirect : Plan artefacts exist; integrity not mandated.,Indirect : Plan evolves with threats/law.,Specified : Establishing plan is governance.,Specified : Designing IR scenarios/flows is reasoning.,,,
,12.10.2,"The incident response plan is reviewed annually, updated as needed, and tested.",Incident Response and Recovery; Evidence Collection and Management,Specified : Review→update→test artefacts create lineage to readiness.,Indirect : Test results explain capability.,Indirect : Evidence exists; integrity not stated.,Specified : Annual + need-based updates.,Specified : Approving tests/changes is governance.,Indirect : Selecting test scope/criteria involves reasoning.,,,
,12.10.3,Specific personnel are designated and available 24/7 to respond to incidents.,Incident Response and Recovery,Indirect : Roster→coverage can be traced; not compelled.,Indirect : On-call structure explains responsiveness.,Indirect : Rosters exist; integrity not stated.,Indirect : Roster evolves.,Specified : Designation/coverage is governance.,Indirect : Capacity planning requires reasoning.,,,
,12.10.4,Personnel with incident response responsibilities are trained periodically.,Incident Response and Recovery; Evidence Collection and Management,Indirect : Training ties roles→competence; traceable via records.,Indirect : Content clarifies expectations.,Indirect : Training records exist; integrity not mandated.,Specified : Periodic cadence.,Specified : Running training is governance.,Indirect : Deciding frequency/content involves reasoning.,,,
,12.10.4.1,The frequency of incident response training is defined in a targeted risk analysis.,Vulnerability and Risk Assessments (VA-RA),Indirect : TRA→frequency mapping traceable.,Indirect : TRA explains cadence choice.,Not specified,Specified : Risk-based cadence = adaptation.,Specified : Approving TRA outcome is governance.,Specified : TRA is formal reasoning.,,,
,12.10.5,"The incident response plan includes monitoring and responding to alerts from security monitoring systems (IDS/IPS, NSCs, FIM, wireless, payment page tamper-detection).",Incident Response and Recovery; Continuous Monitoring and Anomaly Detection,Indirect : Alert source→response steps can be traced; not compelled.,Indirect : Mapping sources clarifies actions.,Indirect : IR/monitoring records exist; integrity not stated.,Indirect : Sources/tuning evolve.,Specified : Integrating monitoring into IR is governance.,Indirect : Correlation/triage logic involves reasoning.,,,
,12.10.6,The incident response plan is updated based on lessons learned and industry developments.,Incident Response and Recovery,Indirect : Update records can tie events→plan changes.,Indirect : Lessons learned explain rationale.,Not specified,Specified : Continuous improvement of IR.,Specified : Approving updates is governance.,Indirect : Evaluating lessons requires reasoning.,,,
,12.10.7,"Incident response procedures exist for when PAN is found outside the CDE, including retrieval, secure deletion, investigation, and remediation.",Incident Response and Recovery,Specified : PAN outside CDE→contain→eradicate→investigate→remediate chain traceable.,Indirect : Steps make actions explainable.,Indirect : Artefacts exist; immutability not mandated.,Indirect : Procedures evolve with findings.,Specified : Enforcing procedures is governance.,Specified : Investigative and corrective logic is formal reasoning.,,,
